geoid,name,year,total_est,total_se,aian_est,aian_se,api_est,api_se,asian_est,asian_se,black_est,black_se,hisp_est,hisp_se,nhopi_est,nhopi_se,nhwhite_est,nhwhite_se,other_est,other_se,othermore_est,othermore_se,twomore_est,twomore_se,white_est,white_se
04000US47,Tennessee,2012,45655.863,375.77759,40302.797,5748.2939,,,66544.984,3743.4978,32534.766,419.26135,35751.516,2041.7899,,,49381.867,358.90332,35725.895,3033.4792,33095.738,2962.8809,30822.297,2555.8069,49028.484,362.79736
04000US47,Tennessee,2013,46609.805,320.46069,42731.355,3783.4832,,,68972.453,4395.6211,33761.254,485.48837,36993.645,2142.1614,42776.598,19745.752,50252.563,372.2717,31877.795,1499.9608,33910.086,2355.1846,35526.863,2136.4048,49911.645,331.97427
04000US47,Tennessee,2014,45932.043,353.11115,37955.207,7267.4175,,,68459.57,2830.5537,32171.379,509.21014,37213.848,1442.6572,,,49925.641,439.34323,30063.273,2169.6506,33261.133,2428.7114,35600.672,2276.0247,49582.918,431.79007
04000US47,Tennessee,2015,48891.211,307.42712,42588.871,7116.7183,,,67296.641,2868.6912,35640.168,846.21045,39695.215,1249.1978,26761.668,8184.8545,52515.004,281.02234,37181.105,1479.9253,40756.457,2634.7764,43134.922,2084.0918,52215.09,286.05182
04000US47,Tennessee,2016,49581.223,419.07593,50734.277,8449.8125,,,70977.531,2633.0386,36432.961,667.41718,41886.723,1215.0098,,,52897.395,322.22284,41428.156,2320.7493,39431.008,3124.3281,38419.398,2883.8633,52584.879,320.98111
04000US47,Tennessee,2017,51340,249.24013,54953,13973.252,,,69376,3162.3101,38190,773.25226,41549,1134.3466,,,54748,361.09424,35955,2940.4255,42693.93,3451.668,47160,3303.3435,54405,366.56534
04000US48,Texas,2009,55138.492,169.47298,43196.52,1855.8682,72623.875,1782.0288,72771.516,1471.0811,40489.813,602.87927,40706.898,320.19281,63985.281,9662.7383,68365.836,319.49826,40129.906,658.44421,41932.461,902.64471,49915.879,1030.7291,58930.625,222.25964
04000US48,Texas,2010,54648.848,237.12332,48833.801,2382.8503,71596.414,2056.0081,71883.773,1774.6665,40063.457,494.06387,41690.051,293.15823,56581.199,8669.0098,67190.594,390.19427,38699.902,724.3537,40982.863,936.98132,49727.473,1760.9994,58125.734,189.972
04000US48,Texas,2011,53823.336,259.01495,50463.734,2111.8662,75718.406,2102.1062,76368.508,1646.1693,38965.035,494.18201,40320.645,276.90091,43165.898,16954.551,66705.977,235.82948,38271.973,611.43433,40800.664,999.34631,49344.598,2050.259,56876.723,205.35713
04000US48,Texas,2012,54171.23,173.28604,46323.125,2179.3804,75968.547,1361.75,76302,819.05243,39521.297,377.72461,41491.063,306.33337,59583.012,10109.002,66249.258,251.16742,39751.902,602.28253,41482.152,1016.7379,46629.535,1725.0723,57118.938,295.94919
04000US48,Texas,2013,54403.535,152.23483,50020.023,2619.9744,79996.484,2275.6909,80363.695,1834.4937,39571.563,483.56946,42586.148,261.61365,57475.992,11268.576,67006.922,344.76712,41597.07,838.57086,43912.195,1107.3473,50197.844,1265.8518,57663.285,279.52362
04000US48,Texas,2014,54913.234,237.29572,47459.281,1654.1462,79107.922,1913.4276,79652.406,1464.058,40671.102,609.28973,42635.281,268.76727,45938.258,4465.1875,68115.813,287.02081,41560.52,570.26501,44176.145,992.47583,50915.496,1435.104,58248.305,226.59537
04000US48,Texas,2015,57555.633,197.4072,52623.594,2576.9812,80329.5,2164.2588,80791.758,2013.0504,42207.258,335.71799,44826.852,423.73392,48587.16,5989.4854,71001.102,395.44308,43253.855,482.20166,46654.398,1069.9908,55424.172,2056.4297,60951.902,320.62955
